parametro,estimacion,ee,ic_inf,ic_sup,p,modelo
indirecto_secuencial_a1a2b1,2.735,0.562,1.633,3.837,<.001,SEM mediación secuencial
total,2.303,0.478,1.366,3.241,<.001,SEM mediación secuencial
a1_indefension_a_evitacion,10.013,1.497,7.080,12.947,<.001,SEM mediación secuencial
a2_evitacion_a_reforzadores,0.730,0.033,0.666,0.794,<.001,SEM mediación secuencial
b1_reforzadores_a_malestar,0.374,0.054,0.269,0.480,<.001,SEM mediación secuencial
indirecto_alternativo_via_malestar,-0.201,0.501,-1.182,0.781,.689,SEM mediación secuencial
indirecto_alternativo_via_indefension,-0.131,0.152,-0.429,0.167,.390,SEM mediación secuencial
capital_x_evitacion_a_reforzadores,0.195,0.087,0.024,0.366,.026,SEM moderación (índice compuesto)
capital_x_evitacion_combinado,0.197,0.085,0.031,0.364,.020,SEM moderación combinada
flexibilidad_a_reforzadores,-3.559,1.553,-6.604,-0.515,.022,SEM moderación (efecto principal)
flexibilidad_x_evitacion,0.001,0.056,-0.109,0.111,.987,SEM moderación (interacción)
flexibilidad_a_reforzadores_combinado,-3.468,1.456,-6.321,-0.616,.017,SEM moderación combinada
indirecto_condicional_capital_bajo,1.711,0.958,-0.168,3.589,.074,SEM moderación condicional
indirecto_condicional_capital_medio,2.804,0.561,1.705,3.903,<.001,SEM moderación condicional
indirecto_condicional_capital_alto,4.150,1.733,0.754,7.546,.017,SEM moderación condicional
sensibilidad_capital_sin_transformar,0.045,0.031,-0.017,0.106,.154,SEM moderación (capital crudo)
sensibilidad_balance_comunitario,0.452,0.219,0.023,0.881,.039,SEM moderación (balance)
reforzadores_a_malestar,0.366,0.017,0.331,0.401,<.001,Modelo mixto
interaccion_indefension_x_reforzadores,-1.204,0.290,-1.773,-0.635,<.001,Modelo mixto
tiempo_a_malestar,-0.919,0.252,-1.413,-0.425,<.001,Modelo mixto
indefension_a_malestar,-0.060,0.282,-0.613,0.493,.831,Modelo mixto
rumiacion_a_malestar,6.140,3.968,-1.638,13.918,.123,Modelo mixto
